date,BC_1MONTH,BC_2MONTH,BC_3MONTH,BC_4MONTH,BC_6MONTH,BC_1YEAR,BC_2YEAR,BC_3YEAR,BC_5YEAR,BC_7YEAR,BC_10YEAR,BC_20YEAR,BC_30YEAR
2005-10-27,3.794640174085708,3.855608367996486,3.911958340408771,3.963986352682411,4.056178399976863,4.255014105679197,4.430119451056657,4.46720465332714,4.457688529073048,4.48254524872772,4.585698804602233,4.8889519254311855,5.019345337868873
2005-10-28,3.7980544512601697,3.8568277072012793,3.9111122929178515,3.961197459374345,4.049845166456498,4.240362948676514,4.406063492198133,4.439160467561606,4.427841884563366,4.452898308150353,4.556220550930701,4.85844015983471,4.988206839589661
2005-10-31,3.831543692926519,3.889876634274745,3.943770761442947,3.993510919672012,4.081588788269461,4.27111325911974,4.436345400902725,4.469133598524132,4.455094381820585,4.47519732245732,4.570343017230257,4.8558693729869935,4.979077523556287
2005-11-01,3.870112869446294,3.9272487281560116,3.9799033657690677,4.028368226126371,4.113812070047709,4.295123391692933,4.44487439562722,4.4656607800915,4.438994341894498,4.456830387705774,4.556393159583603,4.85829483136606,4.988604185637369
2005-11-02,3.8607147028276994,3.9195277704977123,3.973791841121776,4.023800470364097,4.1121430597870114,4.3007791388449395,4.460222297186591,4.486041769109887,4.461753581279806,4.4775672813419565,4.57245283579989,4.864533289772844,4.99103190555052
2005-11-03,3.846860932951648,3.907178757712245,3.962908752955081,4.014344967497858,4.105429813916878,4.301430853425097,4.472180486612253,4.505661503060278,4.489531207743011,4.508282575184859,4.60382865891537,4.893885091521113,5.019313873027372
2005-11-04,3.865698011592374,3.9267355360819214,3.983178150062226,4.03531939576982,4.127789767924287,4.327727030057686,4.50524062618481,4.544012426437276,4.534877059729022,4.557453292167307,4.655768484273735,4.948252927180324,5.074340712264144
2005-11-07,3.8771630138755833,3.93741882241988,3.9931418210089693,4.044621799904966,4.135930677716912,4.333451871047513,4.509284763953216,4.548451392697725,4.541620054438094,4.566088159653469,4.665825344763539,4.959040004339361,5.085167920765039
2005-11-08,3.884137665906722,3.945452963589197,4.002098692830408,4.054374200655817,4.146928017233186,4.345966101380375,4.518900627545337,4.552216013467574,4.534578160314267,4.552790482864393,4.649177341253132,4.943204751031846,5.070452074695703
2005-11-09,3.918907507144296,3.97431984171487,4.025407153238549,4.072449780081745,4.155443302529585,4.331921387734543,4.478718583666766,4.499959557966737,4.473994464161806,4.489147080313733,4.581466762251789,4.865034054148305,4.987739929790834
